CERT,NAME,CITY
28729,ASCENDIA BANK,GLEN ROCK
28735,GOLDEN BELT BANK FSA,HAYS
28747,HOYNE SAVINGS BANK,CHICAGO
28765,KEARNY BANK,KEARNY
28769,FIRST FSB OF ANGOLA,ANGOLA
28778,SOMERSET REGAL BANK,BOUND BROOK
28780,ARUNDEL FEDERAL SAVINGS BANK,GLEN BURNIE
28788,STURDY SAVINGS BANK,STONE HARBOR
28790,SUPERIOR SAVINGS BANK,SUPERIOR
28793,SHARON BANK,SPRINGFIELD
28805,SUNNYSIDE FS&LA OF IRVINGTON,IRVINGTON
28808,BANKFINANCIAL NATIONAL ASSN,OLYMPIA FIELDS
28812,ARMOR BANK,FORREST CITY
28818,CREST SAVINGS BANK,WILDWOOD
28834,COLUMBIA BANK,FAIR LAWN
28836,UNITED SAVINGS BANK,PHILADELPHIA
28837,BRATTLEBORO S&LA,BRATTLEBORO
28841,COMMUNITY SAVINGS BANK,CHICAGO
28845,FIRST FSB OF TWIN FALLS,TWIN FALLS
28859,FIRST PIEDMONT FS&LA GAFFNEY,GAFFNEY
28860,CENTURY SAVINGS&LOAN ASSN,TRINIDAD
28865,MIDCOUNTRY BANK,MINNEAPOLIS
28868,BROADSTREET BANK SSB,MINEOLA
28870,WALLKILL VALLEY FS&LA,WALLKILL
28894,SECURITY FSB,LOGANSPORT
28905,FIRST FINANCIAL BANK,EL DORADO
28908,IRON WORKERS SAVINGS BANK,ASTON
28914,EVERGREEN FEDERAL BANK,GRANTS PASS
28924,FIRST FEDERAL SAVINGS BANK,OTTAWA
28925,SECURITY SAVINGS BANK,MONMOUTH
28930,VERIMORE BANK,BROOKFIELD
28942,CARTHAGE S&L NA,CARTHAGE
28949,AMORY FS&LA,AMORY
28983,LADYSMITH FS&LA,LADYSMITH
28989,WCF FINANCIAL BANK,WEBSTER CITY
29005,FIRST FS&LA,CENTERBURG
29009,LIBERTY BANK FOR SAVINGS,CHICAGO
29011,MECHANICS BANK,MANSFIELD
29012,HERITAGE BANK,OLYMPIA
29024,BEDFORD FEDERAL SAVINGS BANK,BEDFORD
29035,HANCOCK COUNTY SB FSB,CHESTER
29047,FIRST FEDERAL BANK OF KS CTY,LEES SUMMIT
29056,FIRST FEDERAL SAVINGS BANK,EVANSVILLE
29058,FIRST FINANCIAL NW BANK,RENTON
29059,TUCUMCARI FS&LA,TUCUMCARI
29061,TARBORO SAVINGS BANK SSB,TARBORO
29066,DEL NORTE BANK,DEL NORTE
29087,SOUTHWEST HERITAGE BANK,SCOTTSDALE
29089,NEWPORT FEDERAL BANK,NEWPORT
29090,FIRST FS&LA,NEWARK
29093,INVESTORS COMMUNITY BANK,CHILLICOTHE
29120,PYRAMAX BANK FSB,GREENFIELD
29121,UNION SAVINGS BANK,FREEPORT
29135,FIRST FS&LA OF VAN WERT,VAN WERT
29140,AMERICAN FEDERAL BANK,FARGO
29143,ARLO BANK,SPRINGFIELD
29147,NORTHEAST COMMUNITY BANK,WHITE PLAINS
29164,FIRST FS&LA OF VALDOSTA,VALDOSTA
29170,UNITED ROOSEVELT SB,CARTERET
29173,NEW CARLISLE FSB,NEW CARLISLE
29177,BANKTENNESSEE,COLLIERVILLE
29186,LAWRENCEBURG FEDERAL BANK,LAWRENCEBURG
29188,FOX VALLEY SAVINGS BANK,FOND DU LAC
