CERT,NAME,CITY
33686,BANK HAPOALIM B M,NEW YORK
33708,INTERNATIONAL BK OF CHICAGO,CHICAGO
33739,CITIZENS COMMUNITY BANK,WINCHESTER
33753,CITIZENS COMMUNITY BANK,MASCOUTAH
33758,STARION BANK,BISMARCK
33761,VILLAGE BANK,SAINT FRANCIS
33785,STIFEL TRUST CO NA,SAINT LOUIS
33794,FIRST CMTY BANK OF E TN,ROGERSVILLE
33802,TIOGA-FRANKLIN SAVINGS BANK,PHILADELPHIA
33803,WHEATON B&T NA,WHEATON
33805,COMMUNITY BANK OF ELMHURST,ELMHURST
33812,AMERICAN NB FOX CITIES,APPLETON
33818,PRIORITY BANK,FAYETTEVILLE
33823,CAPITAL COMMUNITY BANK,PROVO
33831,FDS BANK,MASON
33849,HINSDALE B&T CO NA,HINSDALE
33851,BANK OF MILAN,MILAN
33855,CREDIT FIRST NATIONAL ASSN,BROOK PARK
33860,NATIONAL BANK OF INPOLIS,INDIANAPOLIS
33867,QUAD CITY BANK&TRUST CO,BETTENDORF
33893,RAYMOND JAMES BANK,SAINT PETERSBURG
33905,HERITAGE BANK OF COMMERCE,SAN JOSE
33922,FRONTIER BANK,SIOUX FALLS
33926,CHARLEVOIX STATE BANK,CHARLEVOIX
33928,PATRIOT BANK NATIONAL ASSN,STAMFORD
33935,WINTRUST BANK NATIONAL ASSN,CHICAGO
33947,TD BANK USA NATIONAL ASSN,WILMINGTON
33959,NATBANK NATIONAL ASSN,HOLLYWOOD
34010,EVERTRUST BANK,CITY OF INDUSTRY
34011,VILLAGE B&T NA,ARLINGTON HEIGHT
34014,TEXAS NATIONAL BANK,SWEETWATER
34020,COMMUNITY BANK,TOPEKA
34023,TNBANK,OAK RIDGE
34038,TIME BANK,PARK RIDGE
34040,FIRST AMERICAN STATE BANK,GREENWOOD VILLAG
34047,FIRST COMMUNITY BANK,LEXINGTON
34052,BAY BANK,GREEN BAY
34058,LUSITANIA SAVINGS BANK,NEWARK
34068,THOMASVILLE NATIONAL BANK,THOMASVILLE
34069,WILMINGTON TRUST NA,WILMINGTON
34073,LIBERTYVILLE B&T CO NA,LIBERTYVILLE
34074,CAPITOL BANK,MADISON
34108,PAN AMERICAN BANK&TRUST,MELROSE PARK
34120,BANK OF ANN ARBOR,ANN ARBOR
34146,PEOPLES BANK OF SENECA,SENECA
34147,BANK RHODE ISLAND,PROVIDENCE
34148,BANK OF STAR VALLEY,AFTON
34150,FIRST UNITED BANK&TRUST CO,MADISONVILLE
34160,COMMUNITY BK CO FITZGERALD,FITZGERALD
34162,WEST POINTE BANK,OSHKOSH
34171,EAGLE ROCK BANK,ROCHESTER
34193,APPLIED BANK,WILMINGTON
34207,GREAT PLAINS NATIONAL BANK,ELK CITY
34211,PLATTE VALLEY BANK,SCOTTSBLUFF
34217,FIRST BANK,HATTIESBURG
34221,MORGAN STANLEY PRIVATE BK NA,PURCHASE
34229,CITIZENS BANK OF GEORGIA,CUMMING
34233,MARINE BANK&TRUST CO,VERO BEACH
34240,WOLF RIVER COMMUNITY BANK,HORTONVILLE
34252,PACIFIC COAST BANKERS BANK,WALNUT CREEK
34254,PLANTERS BANK INC,HOPKINSVILLE
34259,CROWN BANK,ELIZABETH
34294,CFG BANK,LUTHERVILLE
34313,EAGLEMARK SAVINGS BANK,RENO
34319,SOUTHWESTERN NATIONAL BANK,HOUSTON
34331,DSRM NATIONAL BANK,ALBUQUERQUE
34334,AMERICAN METRO BANK,CHICAGO
34352,CITY FIRST BANK NA,WASHINGTON
34363,CORE BANK,OMAHA
34383,TEXAS CAPITAL BANK,DALLAS
34384,PREMIER BANK,ROCK VALLEY
34386,SPRING VALLEY BANK,WYOMING
34393,1ST EQUITY BANK,SKOKIE
34394,SECURITY NB OF SOUTH DAKOTA,DAKOTA DUNES
34395,BARRINGTON B&T CO NA,BARRINGTON
34401,FORTIS BANK,DENVER
34403,COASTAL COMMUNITY BANK,EVERETT
34404,WEBBANK,SALT LAKE CITY
34407,NORTHSTAR BANK,ESTHERVILLE
34409,THE BANK,JENNINGS
34415,FIRST COMMAND BANK,FORT WORTH
34422,AMERICAN BANK,ALLENTOWN
34441,STATE BANK,GREEN RIVER
34444,CUSTOMERS BANK,MALVERN
34455,FIRST NATIONAL BANK,ROTAN
34456,KEYSTONE BANK SSB,AUSTIN
34457,BANK OF JACKSON,JACKSON
34460,MILLENNIAL BANK,LEEDS
34478,CEDAR HILL NATIONAL BANK,CHARLOTTE
34488,HIAWATHA BANK&TRUST CO,HIAWATHA
34489,EDISON NATIONAL BANK,FORT MYERS
34496,FIRST COMMERCIAL BANK USA,ALHAMBRA
34507,PRINCIPAL BANK,DES MOINES
34517,PEOPLES BANK OF EAST TN,MADISONVILLE
34519,MERRICK BANK,SOUTH JORDAN
34526,PRAIRIE COMMUNITY BANK,MARENGO
34533,FIRST COMMUNITY BANK,BATESVILLE
34535,TCM BANK NATIONAL ASSN,TAMPA
34548,NEIGHBORHOOD NATIONAL BANK,EL CAJON
34562,ENCORE BANK,LITTLE ROCK
34566,ALLIANCE BANK,CAPE GIRARDEAU
34585,PACIFIC CREST SAVINGS BANK,LYNNWOOD
34589,ATLANTIC UNION BANK,RICHMOND CITY
34598,MERCANTILE BANK,GRAND RAPIDS
34599,PITNEY BOWES BANK INC,SALT LAKE CITY
34603,MVB BANK INC,FAIRMONT
34606,AMERICAN BANK OF OKLAHOMA,COLLINSVILLE
34607,FIRST INTERNET BANK OF IN,FISHERS
34610,COMMUNITY FIRST BANKING CO,WEST PLAINS
34618,MACATAWA BANK NATIONAL ASSN,HOLLAND
34619,ITS BANK,JOHNSTON
34627,COMMUNITY FIRST BANK,KENNEWICK
34643,SUNSTATE BANK,MIAMI
34644,KEY COMMUNITY BANK,INVER GROVE HEIG
34656,AMERICAN FIRST NATIONAL BANK,HOUSTON
34662,NORTH GEORGIA NATIONAL BANK,CALHOUN
34666,COMMUNITY BANK,LIBERAL
34681,CRYSTAL LAKE B&T CO NA,CRYSTAL LAKE
34685,PEOPLES BANK OF COMMERCE,MEDFORD
34686,CHARTER BANK,JOHNSTON
34697,WEX BANK,SANDY
34699,METROPOLITAN COMMERCIAL BANK,NEW YORK
34710,NATIONWIDE TRUST CO FSB,COLUMBUS
34711,FARMERS BLDG&SVG BANK,ROCHESTER
34717,TOWN BANK NATIONAL ASSN,HARTLAND
34719,FARMERS&MERCHANTS BK COLBY,COLBY
34728,INDEPENDENT BANK,MEMPHIS
34742,EAGLEBANK,BETHESDA
34748,CLEARPOINT FEDERAL B&T,BATESVILLE
34752,FIRST CMTY BANK OF HILLSBORO,HILLSBORO
34755,VIRGINIA NATIONAL BANK,CHARLOTTESVILLE
34759,ASIAN BANK,PHILADELPHIA
34760,PORTAGE COMMUNITY BANK,RAVENNA
34775,EVERBANK NATIONAL ASSN,JACKSONVILLE
34778,FIRST TRUST BANK OF ILLINOIS,KANKAKEE
34781,TRANSPORTATION ALLIANCE BK D,OGDEN
34784,COMMERCIAL CAPITAL BANK,DELHI
34786,ENTERPRISE BANK,ALLISON PARK
34788,AMERICAN BUSINESS BANK,LOS ANGELES
34799,THRIVENT TRUST CO,APPLETON
34803,RESOURCE BANK,COVINGTON
34805,MISSION BANK,BAKERSFIELD
34811,NEBRASKALAND BANK,NORTH PLATTE
34836,NORTH AMERICAN BANKING CO,ROSEVILLE
34847,SOUTHERN BANK OF TENNESSEE,MOUNT JULIET
34849,PREMIER BANK,DUBUQUE
34857,COMMUNITY BANK OF OELWEIN,OELWEIN
34860,NEW REPUBLIC BANK,CHARLOTTE
34876,CONNECTICUT CMTY BANK NA,NORWALK
34885,SUSSER BANK,DALLAS
34888,PARKE BANK,SEWELL
34890,NEW PEOPLES BANK INC,HONAKER
34900,PREFERRED BANK,CASEY
34908,COGENT BANK,ORLANDO
34918,FIRST NB OF HEREFORD,HEREFORD
34936,LEGENDS BANK,CLARKSVILLE
34938,COMMERCE BANK,CORINTH
34953,NORTHPOINTE BANK,GRAND RAPIDS
34955,AMERICAN B&T CO NA,DAVENPORT
34966,FIRST CAPITAL BANK,CHARLESTON
34967,POPULAR BANK,NEW YORK
34968,BANCO POPULAR DE PUERTO RICO,SAN JUAN
34969,FIRST CENTRAL SAVINGS BANK,GLEN COVE
34973,PEOPLES SAVINGS BANK,INDIANOLA
34978,SYNERGY BANK,HOUMA
34980,RED RIVER BANK,ALEXANDRIA
34995,FIRST CENTRAL BANK MCCOOK,MCCOOK
34997,BAYFIRST NATIONAL BANK,SAINT PETERSBURG
34998,FIRST IC BANK,DORAVILLE
35014,NBKC BANK,LEAWOOD
35015,LONE STAR CAPITAL BANK NA,SAN ANTONIO
35019,CURRENCY BANK,BATON ROUGE
35020,COMMUNITY FIRST BANK,NEW IBERIA
35029,AB&T,ALBANY
35031,FREEDOM FINANCIAL BANK,WEST DES MOINES
35033,AMERICAN COMMUNITY BANK,GLEN COVE
35052,HEARTLAND NATIONAL BANK,SEBRING
35056,MADISON CNTY CMTY BANK,MADISON
35060,SETTLERS BANK,MARIETTA
35075,PHILADELPHIA TRUST CO,PHILADELPHIA
35084,PETIT JEAN STATE BANK,MORRILTON
35094,COMMUNITY BANK OF MEMPHIS,MEMPHIS
35095,TOWNEBANK,PORTSMOUTH
35101,BUCKEYE COMMUNITY BANK,ELYRIA
35103,IDAHO TRUST BANK,BOISE
35111,VILLAGE BANK,MIDLOTHIAN
35115,AUTO CLUB TRUST FSB,DEARBORN
35117,CENTERBANK,MILFORD
35118,COMMUNITY BK OF WICHITA INC,WICHITA
35131,SAUK VALLEY BANK&TRUST CO,STERLING
35138,MILLENNIUM BANK,OOLTEWAH
35139,SEATTLE BANK,SEATTLE
35141,BMW BANK OF NORTH AMERICA,SALT LAKE CITY
35151,NEW MILLENNIUM BANK,FORT LEE
35154,M Y SAFRA BANK FSB,NEW YORK
35157,FARM BUREAU BANK FSB,RENO
35161,MURRAY BANK,MURRAY
35164,CAPITAL BANK&TRUST CO,IRVINE
35169,STATE BANK,FREEPORT
35206,FIDELITY PERSONAL TR CO FSB,MERRIMACK
35207,BANK OF THE JAMES,LYNCHBURG
35212,COMMUNITY BANK OF THE SOUTH,MERRITT ISLAND
35214,FIRST RELIANCE BANK,FLORENCE
35220,WYOMING COMMUNITY BANK,RIVERTON
35221,FREEDOM BANK,HUNTINGBURG
35223,FIRST SECURE COMMUNITY BANK,SUGAR GROVE
35229,SOUTHERN ILLINOIS BANK,JOHNSTON CITY
35230,EVERGREEN BANK GROUP,OAK BROOK
35237,JOHN DEERE FINANCIAL FSB,MIDDLETON
35241,OPTUS BANK,COLUMBIA
35261,TWIN CITY BANK,LONGVIEW
35274,BLUE RIDGE BANK NA,MARTINSVILLE
35276,FREEDOM BANK OF SOUTHERN MO,CASSVILLE
35278,CAPITAL BANK NATIONAL ASSN,ROCKVILLE
35292,GREAT AMERICAN BANK,LAWRENCE
35295,SOUTHERN FIRST BANK,GREENVILLE
35314,ALAMERICA BANK,BIRMINGHAM
35320,GEORGIA COMMUNITY BANK,ALBANY
35323,FINWISE BANK,MURRAY
35331,LIBERTY BANK NATIONAL ASSN,IRVINE
35333,OAK BANK,FITCHBURG
35361,FIVE STAR BANK,ROSEVILLE
35365,BANK OF OAK RIDGE,OAK RIDGE
35366,CHINO COMMERCIAL BANK N A,CHINO
35377,ALPINE CAPITAL BANK,NEW YORK
35388,SEI PRIVATE TRUST CO,OAKS
35393,UNITED TRUST BANK,PALOS HEIGHTS
35394,MASSMUTUAL PRIVATE WEALTH&TR,WINDSOR
35406,BANKVISTA,SARTELL
35407,YAMPA VALLEY BANK,STEAMBOAT SPRING
35412,AMERICAN COMMUNITY B&T,WOODSTOCK
35417,TRISTAR BANK,DICKSON
35420,BRANSON BANK,BRANSON
35427,UNITED NATIONAL BANK,CAIRO
35430,OPTIMUMBANK,FORT LAUDERDALE
35439,BANK OF BROOKHAVEN,BROOKHAVEN
35441,FOUR CORNERS COMMUNITY BANK,FARMINGTON
35442,CITIZENS BK CUMBERLAND CNTY,BURKESVILLE
35444,BCORP BANK NATIONAL ASSN,SIOUX FALLS
35450,CENTURY BANK OF KENTUCKY INC,LAWRENCEBURG
35455,HOMETOWN BANK OF CORBIN INC,CORBIN
35456,1ST COLONIAL COMMUNITY BANK,COLLINGSWOOD
35477,CITIZENS FIRST BANK,CLINTON
35480,CROWN BANK,EDINA
35497,QUAINT OAK BANK,SOUTHAMPTON
35506,CYPRESS BANK&TRUST,MELBOURNE
35510,DAVIDSON TRUST CO,GREAT FALLS
35513,COMMUNITY BK OF PICKENS CNTY,JASPER
35518,FEDERAL SAVINGS BANK,CHICAGO
35519,NORTH STATE BANK,RALEIGH
35521,INSBANK,NASHVILLE
35530,FIRST CAROLINA BANK,ROCKY MOUNT
35533,FIRST ELECTRONIC BANK,SALT LAKE CITY
35541,BCB COMMUNITY BANK,BAYONNE
35543,BANK OF FRANKLIN COUNTY,WASHINGTON
35546,AXOS BANK,SAN DIEGO
35558,CENTURY BANK OF FLORIDA,TAMPA
35568,AMERICAN BANK&TRUST CO INC,BOWLING GREEN
35583,PINNACLE BANK,NASHVILLE
35585,COMMUNITY FIRST NB,MANHATTAN
35597,NEW FRONTIER BANK,SAINT CHARLES
35602,COUNTRY TRUST BANK,BLOOMINGTON
55130,"SERVBANK,SB",OSWEGO
57022,BANK OF CLOVIS,CLOVIS
57025,AMERICAN HERITAGE BANK,CLOVIS
57031,CHAMPION BANK,PARKER
57033,WILLAMETTE VALLEY BANK,SALEM
57038,NICOLET NATIONAL BANK,GREEN BAY
57044,CALIFORNIA BK OF COM NA,SAN DIEGO
57056,CELTIC BANK,SALT LAKE CITY
57058,PEOPLES BANK,SHERIDAN
57061,CORNERSTONE NB&T CO,PALATINE
57069,FIRST COMMERCIAL BANK,JACKSON
57071,GEORGIA BANKING CO,ATLANTA
57073,COMMUNITY BK OF SANTA MARIA,SANTA MARIA
57074,BANKCDA,COEUR D ALENE
57077,WESTFIELD BANK FSB,WESTFIELD CENTER
57082,NORTHBROOK B&T CO NA,NORTHBROOK
57083,EMIGRANT BANK,MIAMI
57092,TRADITIONS FIRST BANK,ERIN
57093,NORTHWESTERN MUTUAL WEALTH M,MILWAUKEE
57095,DOGWOOD STATE BANK,RALEIGH
57097,NORTHSTAR BANK,BAD AXE
57101,MISSION VALLEY BANK,SUN VALLEY
57102,BANK OF BRENHAM NA,BRENHAM
57103,SCHAUMBURG B&T CO NA,SCHAUMBURG
57109,EVERENCE TRUST CO,GOSHEN
57123,FIRST CENTURY BANK NA,COMMERCE
57124,FIRST CMTY BANK OF CNTL AL,WETUMPKA
57127,GUARDIAN BANK,VALDOSTA
57129,COMMUNITY FSB,WOODHAVEN
57134,LEADER BANK NATIONAL ASSN,ARLINGTON
57137,MISSION BANK,KINGMAN
57141,COMMUNITY BANK OF MISSOURI,RICHMOND
57160,NATIONAL ADVISORS TRUST CO,KANSAS CITY
57176,COMMERCE WEST BANK,IRVINE
57184,FREEDOM BANK OF VIRGINIA,FAIRFAX
57192,GOGEBIC RANGE BANK,IRONWOOD
57197,BNC NATIONAL BANK,GLENDALE
57203,BARCLAYS BANK DELAWARE,WILMINGTON
57228,EMBASSY BK LEHIGH VALLEY,BETHLEHEM
57230,DOUGLAS NATIONAL BANK,DOUGLAS
57244,CEDAR RAPIDS BANK&TRUST CO,CEDAR RAPIDS
57250,CORNERSTONE BANK,OVERLAND PARK
57252,FIRST CHATHAM BANK,SAVANNAH
57265,CITIZENS CMTY FEDERAL NA,ALTOONA
57269,SIGNATURE BANK NATIONAL ASSN,TOLEDO
57273,FIRST COMMERCE BANK,MARYSVILLE
57280,FLATIRONS BANK,BOULDER
57295,AMG NATIONAL TRUST BANK,BOULDER
57298,1ST BANK YUMA,YUMA
57301,UNITED CMTY BANK OF W KY INC,MORGANFIELD
57311,STIFEL BANK&TRUST,SAINT LOUIS
57312,TOWN&COUNTRY BANK,LAS VEGAS
57335,FARMERS BANK,AULT
57336,DRAKE BANK,SAINT PAUL
57348,SOUTHEAST BANK,FARRAGUT
57358,STIFEL BANK,SAINT LOUIS
57359,AMERICAN EAGLE BANK,SOUTH ELGIN
57363,CHEYENNE STATE BANK,CHEYENNE
57368,BANKWELL BANK,NEW CANAAN
57369,U S CENTURY BANK,DORAL
57373,OREGON COAST BANK,NEWPORT
57379,INDEPENDENCE BANK,EAST GREENWICH
57391,UNITED BANK&TRUST CO,MARSHALLTOWN
57396,BANK OF LINCOLN COUNTY,FAYETTEVILLE
57408,OPTUM BANK INC,DRAPER
57414,WORTHINGTON BANK,ARLINGTON
57415,FORCHT BANK NATIONAL ASSN,LEXINGTON
57416,PATRIOT BANK,MILLINGTON
57417,COMMERCIAL BANK OF CA,IRVINE
57420,HIGHLANDS COMMUNITY BANK,COVINGTON
57425,SANIBEL CAPTIVA CMTY BANK,SANIBEL
57429,COMMERCE BANK&TRUST,WINTER PARK
57444,AMERICAN CONTINENTAL BANK,CITY OF INDUSTRY
57449,MEDALLION BANK,SALT LAKE CITY
57450,CHARLES SCHWAB BANK SSB,WESTLAKE
57451,SOUND COMMUNITY BANK,SEATTLE
57463,PCB BANK,LOS ANGELES
57465,FIRST COMMERCE BANK,LEWISBURG
57468,COMMUNITY BANK OWATONNA,OWATONNA
57470,MEMBERS TRUST CO,TAMPA
57483,CITIZENS BANK&TRUST,GUNTERSVILLE
57488,METROPOLITAN CAPITAL B&T,CHICAGO
57491,BANK OF COMMERCE,DUNCAN
57495,PRIMEBANK OF TEXAS,AUSTIN
57497,PATHFINDER BANK,OSWEGO
57505,LIBERTY NATIONAL BANK,SIOUX CITY
57510,AVIDBANK,SAN JOSE
57511,COMMUNITY FIRST BANK OF IN,KOKOMO
57512,WESTERN ALLIANCE BANK,PHOENIX
57522,TOLLESON PRIVATE BANK,DALLAS
57540,HOMETOWN BANK OF ALABAMA,ONEONTA
57542,TOYOTA FINANCIAL SB,HENDERSON
57543,TRINITY BANK N A,FORT WORTH
57548,HERITAGE BANK,TOPEKA
57554,TRADITIONS BANK,CULLMAN
57565,UBS BANK USA,SALT LAKE CITY
57569,PEOPLESTRUST BANK,HAMILTON
57570,COMENITY CAPITAL BANK,DRAPER
57571,CONTINENTAL BANK,SALT LAKE CITY
57576,HERITAGE BANK OF THE OZARKS,LEBANON
57579,COMMUNITY BANK OF GEORGIA,BAXLEY
57585,GOLDEN STATE BANK,GLENDALE
57587,INTEGRITY BANK&TRUST,MONUMENT
57591,SANTA CRUZ COUNTY BANK,SANTA CRUZ
57598,MAINSTREET CMTY BANK OF FL,DELAND
57603,FALCON NATIONAL BANK,FOLEY
57607,FIRST WESTERN TRUST BANK,DENVER
57610,REDWOOD CAPITAL BANK,EUREKA
57614,FORBRIGHT BANK,POTOMAC
57624,CLARION CNTY CMTY BANK,CLARION
57626,1ST STATE BANK,SAGINAW
57632,HOMELAND COMMUNITY BANK,MCMINNVILLE
57633,1ST SECURITY BANK OF WA,MOUNTLAKE TERRAC
57640,BANK OF WALKER COUNTY,JASPER
57644,GATEWAY BANK,MENDOTA HEIGHTS
57656,HERITAGE COMMUNITY BANK,GREENEVILLE
57665,VERITEX COMMUNITY BANK,DALLAS
57672,EMPIRE STATE BANK,STATEN ISLAND
57684,CEDARSTONE BANK,LEBANON
57686,AMERICAN COMMERCE BANK NA,BREMEN
57694,FIRST NB OF DECATUR COUNTY,BAINBRIDGE
57701,BEVERLY B&T CO NA,CHICAGO
57703,T BANK NATIONAL ASSN,DALLAS
57706,SUMMIT BANK,EUGENE
57710,GREENE CNTY COMMERCIAL BANK,CATSKILL
57716,UNITED BUSINESS BANK,WALNUT CREEK
57734,EH NATIONAL BANK,BEVERLY HILLS
57740,PACIFIC VALLEY BANK,SALINAS
57741,FIRST SOUTHWEST BANK,ALAMOSA
57742,MAINSTREET BANK,FAIRFAX
57754,PROVIDENCE BANK&TRUST,SOUTH HOLLAND
57756,COASTAL STATES BANK,HILTON HEAD ISLA
57777,MERIDIAN BANK,WAYNE
57784,NANTAHALA BANK&TRUST CO,FRANKLIN
57785,LAKEVIEW BANK,LAKEVILLE
57803,ALLY BANK,SANDY
57807,QUONTIC BANK,ASTORIA
57813,STERLING BANK,POPLAR BLUFF
57815,BANESCO USA,MIAMI
57825,TRUXTON TRUST CO,NASHVILLE
57833,BEAL BANK USA,LAS VEGAS
57834,EMIGRANT MERCANTILE BANK,NEW YORK
57841,VALLIANCE BANK,OKLAHOMA CITY
57857,TIMBERLINE BANK,GRAND JUNCTION
57867,UNITED CITIZENS BANK OF S KY,COLUMBIA
57869,1ST TRUST BANK INC,HAZARD
57872,PACIFIC WEST BANK,WEST LINN
57873,COMMONWEALTH BUSINESS BANK,LOS ANGELES
57874,PARAGON BANK,MEMPHIS
57882,LEGACY STATE BANK,LOGANVILLE
57884,PARAMOUNT BANK,HAZELWOOD
57890,HSBC BANK USA NATIONAL ASSN,TYSONS
57892,VISIONBANK,FARGO
57897,SOUTHERNTRUST BANK,MARION
57899,1ST ADVANTAGE BANK,SAINT PETERS
57901,ONE WORLD BANK,DALLAS
57903,POPPY BANK,SANTA ROSA
57910,FIRST STATE BANK,NASHUA
57915,BANK OF GRAND LAKE,GROVE
57919,CONNECTONE BANK,ENGLEWOOD CLIFFS
57920,PRIME ALLIANCE BANK,WOODS CROSS
57922,HARMONY BANK,DALLAS
57923,PEACH STATE BANK&TRUST,GAINESVILLE
57931,ANCHOR BANK,PALM BEACH GARDE
57933,VALLEY BANK OF NEVADA,NORTH LAS VEGAS
57944,OPEN BANK,LOS ANGELES
57952,BANK OF BOZEMAN,BOZEMAN
57953,LEGACY NATIONAL BANK,SPRINGDALE
57957,CITIZENS BANK NATIONAL ASSN,PROVIDENCE
57967,FIRST RESOURCE BANK,EXTON
57968,PRIMIS BANK,TAPPAHANNOCK
57974,CALIFORNIA INTL BANK N A,WESTMINSTER
57978,SAVIBANK,BURLINGTON
57990,HURON VALLEY STATE BANK,MILFORD
57993,SERVISFIRST BANK,BIRMINGHAM
57997,BRYANT BANK,TUSCALOOSA
58010,FREEDOM BANK,COLUMBIA FALLS
58013,TWO RIVERS BANK&TRUST,BURLINGTON
58018,ST LOUIS BANK,SAINT LOUIS
58025,VERUS BANK OF COMMERCE,FORT COLLINS
58029,SUNRISE BANK,ORLANDO
58030,PARADISE BANK,BOCA RATON
58037,CALIFORNIA BUSINESS BANK,IRVINE
58039,FIRST RESOURCE BANK,LINO LAKES
58049,ECLIPSE BANK INC,LOUISVILLE
58054,FIRST COMMERCE BANK,LAKEWOOD
58057,TRADITION CAPITAL BANK,WAYZATA
58060,FIRST GENERAL BANK,ROWLAND HEIGHTS
58063,VISIONBANK,SAINT LOUIS PARK
58069,BANK OF SAN FRANCISCO,SAN FRANCISCO
58074,FLINT COMMUNITY BANK,ALBANY
58079,PUTNAM 1ST MERCANTILE BANK,COOKEVILLE
58082,AUSTIN CAPITAL BANK SSB,AUSTIN
58088,SOUTHPOINT BANK,BIRMINGHAM
58090,FFB BANK,FRESNO
58095,IDAHO FIRST BANK,MCCALL
58103,SIGNATURE BANK OF GEORGIA,SANDY SPRINGS
58106,RIVERLAND BANK,JORDAN
58111,NOBLEBANK&TRUST,ANNISTON
58113,FLAGSHIP BANK,CLEARWATER
58114,BANK OF BELLEVILLE,BELLEVILLE
58115,OAKSTAR BANK,SPRINGFIELD
58121,TRIAD BANK,FRONTENAC
58140,ESQUIRE BANK NATIONAL ASSN,JERICHO
58148,MILESTONE BANK,SALT LAKE CITY
58158,SMARTBIZ BANK NATIONAL ASSN,NORTHBROOK
58164,BANK OF LEXINGTON INC,LEXINGTON
58165,BELMONT BANK&TRUST CO,CHICAGO
58177,SALLIE MAE BANK,SALT LAKE CITY
58181,METRO CITY BANK,DORAVILLE
58184,MERCHANTS COMMERCIAL BANK,ST THOMAS
58188,HSBC TRUST CO DELAWARE NA,WILMINGTON
58201,FIRST VISION BANK OF TN,TULLAHOMA
58203,NEWBANK,FLUSHING
58208,FIRST FREEDOM BANK,LEBANON
58210,BRIDGEWATER BANK,SAINT LOUIS PARK
58214,TOWN CENTER BANK,FRANKFORT
58216,BMO HARRIS CENTRAL NA,ROSELLE
58218,FIRST PACIFIC BANK,WHITTIER
58220,HERITAGE BANK&TRUST,COLUMBIA
58224,COLUMN NATIONAL ASSN,CHICO
58228,B1BANK,BATON ROUGE
58230,FIRST MO STB OF CAPE COUNTY,CAPE GIRARDEAU
58234,PACIFIC ALLIANCE BANK,SAN GABRIEL
58239,PROVIDENCE BANK,ROCKY MOUNT
58243,JOHN MARSHALL BANK,RESTON
58255,RIVER BANK&TRUST,PRATTVILLE
58257,DR BANK,DARIEN
58259,FIRST NB OF MICHIGAN,KALAMAZOO
58263,GLOBAL BANK,NEW YORK
58264,SIGNATURE BANK,ROSEMONT
58271,REPUBLIC BANK OF ARIZONA,PHOENIX
58276,RIVER VALLEY COMMUNITY BANK,YUBA CITY
58278,GOLDEN VALLEY BANK,CHICO
58281,AMERICAN RIVIERA BANK,SANTA BARBARA
58282,EAGLE BANK,POLSON
58289,RIVER CITY BANK,ROME
58291,CALPRIVATE BANK,LA JOLLA
58297,PINNACLE BANK,GILROY
58300,TABLE ROCK COMMUNITY BANK,KIMBERLING CITY
58303,AMERIPRISE BANK FSB,MINNEAPOLIS
58307,FIRST BANK OF GREENWICH,COS COB
58309,AMERICAN MOMENTUM BANK,COLLEGE STATION
58310,US METRO BANK,GARDEN GROVE
58311,COMMUNITY BANK DELAWARE,LEWES
58314,OLD PLANK TRAIL CMTY BANK NA,NEW LENOX
58316,INVESTAR BANK NATIONAL ASSN,BATON ROUGE
58322,RIVERBANK,SPOKANE
58324,LONE STAR BANK,HOUSTON
58341,MOUNTAIN PACIFIC BANK,EVERETT
58348,MILLENNIUM BANK,DES PLAINES
58357,SOUTHERN INDEPENDENT BANK,OPP
58359,UNITED REPUBLIC BANK,ELKHORN
58371,HYPERION BANK,PHILADELPHIA
58377,CENTRAL BANK,TAMPA
58396,JONAH BANK OF WYOMING,CASPER
58401,MEGA BANK,SAN GABRIEL
58405,GOLDWATER BANK N A,PHOENIX
58407,UNIBANK,LYNNWOOD
58410,CROSS RIVER BANK,TEANECK
58411,CORNERSTONE COMMUNITY BANK,RED BLUFF
58413,EMBASSY NATIONAL BANK,LAWRENCEVILLE
58423,COMMUNITY BK PLEASANT HILL,PLEASANT HILL
58424,ALMA BANK,ASTORIA
58426,WEST VALLEY NATIONAL BANK,GOODYEAR
58428,LEWIS&CLARK BANK,OREGON CITY
58433,WATERFORD BANK N A,TOLEDO
58443,FIRST SECURITY BANK OF NV,LAS VEGAS
58446,COMMENCEMENT BANK,TACOMA
58450,TEXAS ADVANTAGE CMTY BANK NA,ALVIN
58457,TRISTATE CAPITAL BANK,PITTSBURGH
58463,SMARTBANK,PIGEON FORGE
58469,AMERICAN PLUS BANK N A,ARCADIA
58470,HOMETOWN BANK OF PA,BEDFORD
58479,BANK OF CENTRAL FLORIDA,LAKELAND
58481,FIRST BANK,HAMILTON
58482,BANK OF MONTANA,MISSOULA
58483,PEGASUS BANK,DALLAS
58484,AUSTIN COUNTY STATE BANK,BELLVILLE
58486,FINEMARK NATIONAL BANK&TRUST,FORT MYERS
58490,BENEFICIAL STATE BANK,OAKLAND
58500,COMMUNITY VALLEY BANK,EL CENTRO
58504,OLD DOMINION NATIONAL BANK,NORTH GARDEN
58508,FIRST FARMBANK,GREELEY
58509,FRONTIER BANK OF TEXAS,ELGIN
58511,PLATINUM BANK,OAKDALE
58513,BANK OF PRINCETON,PRINCETON
58517,COMMUNITY BANK,BRIDGEPORT
58534,SOLERA NATIONAL BANK,LAKEWOOD
58536,THINK MUTUAL BANK,ROCHESTER
58537,BANKFLORIDA,DADE CITY
58556,GOLD COAST BANK,CHICAGO
